USPSBoxType,USPSBoxID,PlaceName,StateName,ZipCode,AddressNumber,StreetNamePreDirectional,StreetName,StreetNamePostType,OccupancyIdentifier
PO BOX,115706,GAINESVILLE,FL,32611-5706,,,,,
PO BOX,2433,PITTSBURGH,PA,15230-0000,,,,,
PO BOX,172,SUN PRAIRIE,WI,53590,,,,,
PO BOX,30918,BILLINGS,MT,59116-0918,,,,,
PO BOX,653067,DALLAS,TX,75265-3067,,,,,
PO BOX,7295,SALEM,OR,97303-0060,,,,,
PO BOX,331,BEDFORD HILLS,NY,10507-0331,,,,,
,,GILBERT,AZ,85298-4154,4374,E,TURNBERRY,CT,
PO BOX,10350,TRUCKEE,CA,96162-0350,,,,,
PO BOX,1743,ANNAPOLIS,MD,21404,,,,,
PO BOX,14241,MACON,GA,31203,,,,,
PO BOX,514,MARION,AR,72364-0514,,,,,
PO BOX,46,PILOT KNOB,MO,63663-0046,,,,,
PO BOX,11,TRENTON,MO,64683-0011,,,,,
PO BOX,9106,CONCORD,MA,1742,,,,,
,,MORRISTOWN,NJ,07960-3614,15,,KNOLLWOOD,DR,
PO BOX,39653,NINILCHIK,AK,99639-0000,,,,,
PO BOX,901261,HOMESTEAD,FL,33090-1261,,,,,
,,WARRENSVILLE HEIGHTS,OH,44128,,,,,
PO BOX,27523,MEMPHIS,TN,38167-0523,,,,,
PO BOX,128,LEWISBURG,PA,17837-0128,,,,,
PO BOX,768,CARROLL,IA,51401-0768,,,,,
PO BOX,209,BIWABIK,MN,55708,,,,,
PO BOX,62003,VIRGINIA BCH,VA,23466,,,,,
PO BOX,745,ROCKVILLE,MD,20848-0745,,,,,
PO BOX,13,CLARENDON,AR,72029-0013,,,,,
PO BOX,643,GLADE SPRING,VA,24340,,,,,
,,N TONAWANDA,NY,14120-4345,576,,OLIVER,ST,# 578
PO BOX,2589,TOLEDO,OH,43606-0589,,,,,
PO BOX,671,SIDNEY,IA,51652-0671,,,,,
PO BOX,301,ROCKVILLE,MN,56369,,,,,
PO BOX,1147,LAKE CITY,SC,29560-1147,,,,,
PO BOX,614,BENTON CITY,WA,99320,,,,,
PO BOX,27896,DENVER,CO,80227,,,,,
,,PEORIA,AZ,85382-4733,8659,W,TIERRA BUENA,LN,
PO BOX,538,HARTLAND,MI,48353,,,,,
,,LOWELL,MA,01854-0000,812,,MERRIMACK,STREET,
PO BOX,381,MAURICE,LA,70555-0381,,,,,
PO BOX,231,DAPHNE,AL,36526-0231,,,,,
PO BOX,71,WINCHENDON,MA,01475-0071,,,,,
PO BOX,18994,BOULDER,CO,80308,,,,,
,,BEAVERTON,OR,97008,6485,SW,CHERRYHILL,LN,
PO BOX,184,REGENT,ND,58650-0184,,,,,
,,SHERRILLS FRD,NC,28673,4969,,MOONLITE BAY,DR,
,,FALLSTON,MD,21047-1839,2301,,CARRS MILL,RD,
PO BOX,401,BELFAST,ME,04915-0401,,,,,
,,HOUSTON,TX,77084-3109,4759,,BLUEBERRY HILL,DR,
PO BOX,13,RENSSELAER,NY,12144-0013,,,,,
PO BOX,653067,DALLAS,TX,75265-3067,,,,,
PO BOX,343,PENNEY FARMS,FL,32079,,,,,
PO BOX,411,BUFFALO,NY,14209-0411,,,,,
PO BOX,1492,COLUMBUS,GA,31902,,,,,
PO BOX,1348,KILAUEA,HI,96754-1348,,,,,
PO BOX,1428,LEWISBURG,WV,24901-4428,,,,,
,,SIERRA VISTA,AZ,85650-5727,2682,,MISTY VIEW,WAY,
PO BOX,8886,FORT WAYNE,IN,46898-8886,,,,,
PO BOX,643063,VERO BEACH,FL,32964-3063,,,,,
PO BOX,638,OCONOMOWOC,WI,53066-0638,,,,,
PO BOX,716,CASHMERE,WA,98815-0716,,,,,
PO BOX,3649,FORT SMITH,AR,72913,,,,,
PO BOX,130698,THE WOODLANDS,TX,77393-0698,,,,,
PO BOX,1371,ELK GROVE VLG,IL,60009,,,,,
PO BOX,715,CALHOUN CITY,MS,38916-0715,,,,,
PO BOX,70714,MADISON,WI,53707-0714,,,,,
PO BOX,1645,TUCUMCARI,NM,88401-1645,,,,,
PO BOX,326,MCLOUTH,KS,66054,,,,,
PO BOX,1962,TOPEKA,KS,66601-1962,,,,,
PO BOX,326,INDIAN RIVER,MI,49749-0326,,,,,
,,CLIFTON,TX,76634,1010,,HACKBERRY,ST,
PO BOX,281047,SAN FRANCISCO,CA,94128,,,,,
PO BOX,490,WILLMAR,MN,56201-0490,,,,,
PO BOX,309,CHANHASSEN,MN,55317,,,,,
PO BOX,130921,TYLER,TX,75713-0921,,,,,
PO BOX,440,HANKINSON,ND,58041-0440,,,,,
,,NAVARRE,OH,44662-9438,,,,,
PO BOX,51,FENTON,MI,48430-0051,,,,,
PO BOX,26161,SAN ANGELO,TX,76906-0000,,,,,
PO BOX,244,WILSONVILLE,OR,97070-0244,,,,,
PO BOX,192,KIRKWOOD,PA,17536,,,,,
PO BOX,560772,MIAMI,FL,33256,,,,,
PO BOX,13009,SALEM,OR,97309,,,,,
PO BOX,26483,RALEIGH,NC,27611-6483,,,,,
PO BOX,968,MERCEDES,TX,78570-0968,,,,,
PO BOX,312,BLAIRSTOWN,NJ,7825,,,,,
,,PERRY,GA,31069-4100,203,,CEDAR RIDGE,DR,
PO BOX,58205,LOUISVILLE,KY,40268,,,,,
PO BOX,3571,YUBA CITY,CA,95992-3571,,,,,
PO BOX,8126,NORFOLK,VA,23503-0126,,,,,
PO BOX,452,HARRISONBURG,VA,22803-0452,,,,,
PO BOX,849,STILLWATER,OK,74076,,,,,
PO BOX,184,POWAY,CA,92074-0184,,,,,
PO BOX,7985,CUMBERLAND,RI,2864,,,,,
,,LITHIA,FL,33547-4324,6007,,BURROWING OWL,PL,
,,SHAKER HTS,OH,44122-5203,3605,,WARRENSVILLE CENTER,RD,
PO BOX,732,COCHRAN,GA,31014,,,,,
PO BOX,324,MT STERLING,KY,40353-0000,,,,,
,,BENTON,AR,72019,5815,,MEDITERRANEAN,BLVD,
PO BOX,1122,MARRERO,LA,70073-1122,,,,,
PO BOX,4264,MANTECA,CA,95337-0005,,,,,
,,BERRY CREEK,CA,95916-9724,300,,ROCKERFELLER,RD,
